scode,scount,ssum,spercent,sdate
110101,31,0,0.0000,2013/1/3 0:00:00
110102,39,0,0.0000,2013/1/3 0:00:00
110105,317,0,0.0000,2013/1/3 0:00:00
110106,207,0,0.0000,2013/1/3 0:00:00
110107,57,0,0.0000,2013/1/3 0:00:00
110108,302,0,0.0000,2013/1/3 0:00:00
110109,987,86,8.7133,2013/1/3 0:00:00
110111,1415,80,5.6537,2013/1/3 0:00:00
110112,631,0,0.0000,2013/1/3 0:00:00
110113,706,68,9.6317,2013/1/3 0:00:00
110114,943,0,0.0000,2013/1/3 0:00:00
110115,723,0,0.0000,2013/1/3 0:00:00
110116,1473,47,3.1908,2013/1/3 0:00:00
110117,677,7,1.0340,2013/1/3 0:00:00
110228,1567,195,12.4442,2013/1/3 0:00:00
110229,1407,403,28.6425,2013/1/3 0:00:00
120101,15,0,0.0000,2013/1/3 0:00:00
120102,21,0,0.0000,2013/1/3 0:00:00
120103,22,0,0.0000,2013/1/3 0:00:00
120104,32,0,0.0000,2013/1/3 0:00:00
120105,17,0,0.0000,2013/1/3 0:00:00
120106,32,0,0.0000,2013/1/3 0:00:00
120110,355,0,0.0000,2013/1/3 0:00:00
120111,373,4,1.0724,2013/1/3 0:00:00
120112,308,0,0.0000,2013/1/3 0:00:00
120113,291,0,0.0000,2013/1/3 0:00:00
120114,1068,1,0.0936,2013/1/3 0:00:00
120115,1077,7,0.6500,2013/1/3 0:00:00
120116,1364,144,10.5572,2013/1/3 0:00:00
120221,962,41,4.2620,2013/1/3 0:00:00
120223,982,33,3.3605,2013/1/3 0:00:00
120225,1109,114,10.2795,2013/1/3 0:00:00
130102,99,0,0.0000,2013/1/3 0:00:00
130103,34,0,0.0000,2013/1/3 0:00:00
130104,31,0,0.0000,2013/1/3 0:00:00
130105,57,0,0.0000,2013/1/3 0:00:00
130107,24,0,0.0000,2013/1/3 0:00:00
130108,110,0,0.0000,2013/1/3 0:00:00
130121,961,0,0.0000,2013/1/3 0:00:00
130123,348,0,0.0000,2013/1/3 0:00:00
130124,270,0,0.0000,2013/1/3 0:00:00
130125,676,0,0.0000,2013/1/3 0:00:00
130126,769,0,0.0000,2013/1/3 0:00:00
130127,128,0,0.0000,2013/1/3 0:00:00
130128,236,0,0.0000,2013/1/3 0:00:00
130129,577,0,0.0000,2013/1/3 0:00:00
130130,331,0,0.0000,2013/1/3 0:00:00
130131,1695,3,0.1770,2013/1/3 0:00:00
130132,493,0,0.0000,2013/1/3 0:00:00
130133,376,0,0.0000,2013/1/3 0:00:00
130181,631,0,0.0000,2013/1/3 0:00:00
130182,531,0,0.0000,2013/1/3 0:00:00
130183,486,0,0.0000,2013/1/3 0:00:00
130184,307,0,0.0000,2013/1/3 0:00:00
130185,450,4,0.8889,2013/1/3 0:00:00
130202,42,6,14.2857,2013/1/3 0:00:00
130203,73,63,86.3014,2013/1/3 0:00:00
130204,133,76,57.1429,2013/1/3 0:00:00
130205,201,123,61.1940,2013/1/3 0:00:00
130207,943,102,10.8165,2013/1/3 0:00:00
130208,1035,524,50.6280,2013/1/3 0:00:00
130223,697,366,52.5108,2013/1/3 0:00:00
130224,799,420,52.5657,2013/1/3 0:00:00
130225,1135,779,68.6344,2013/1/3 0:00:00
130227,1104,36,3.2609,2013/1/3 0:00:00
130229,698,71,10.1719,2013/1/3 0:00:00
130230,540,176,32.5926,2013/1/3 0:00:00
130281,1104,359,32.5181,2013/1/3 0:00:00
130283,816,47,5.7598,2013/1/3 0:00:00
130302,169,134,79.2899,2013/1/3 0:00:00
130303,163,13,7.9755,2013/1/3 0:00:00
130304,118,88,74.5763,2013/1/3 0:00:00
130321,2233,62,2.7765,2013/1/3 0:00:00
130322,867,115,13.2641,2013/1/3 0:00:00
130323,1308,208,15.9021,2013/1/3 0:00:00
130324,712,25,3.5112,2013/1/3 0:00:00
130402,28,0,0.0000,2013/1/3 0:00:00
130403,18,0,0.0000,2013/1/3 0:00:00
130404,36,0,0.0000,2013/1/3 0:00:00
130406,169,0,0.0000,2013/1/3 0:00:00
130421,325,0,0.0000,2013/1/3 0:00:00
130423,520,0,0.0000,2013/1/3 0:00:00
130424,331,0,0.0000,2013/1/3 0:00:00
130425,728,0,0.0000,2013/1/3 0:00:00
130426,928,5,0.5388,2013/1/3 0:00:00
130427,929,4,0.4306,2013/1/3 0:00:00
130428,369,0,0.0000,2013/1/3 0:00:00
130429,502,0,0.0000,2013/1/3 0:00:00
130430,279,0,0.0000,2013/1/3 0:00:00
130431,199,0,0.0000,2013/1/3 0:00:00
130432,327,0,0.0000,2013/1/3 0:00:00
130433,285,0,0.0000,2013/1/3 0:00:00
130434,562,0,0.0000,2013/1/3 0:00:00
130435,572,0,0.0000,2013/1/3 0:00:00
130481,1221,0,0.0000,2013/1/3 0:00:00
130502,31,0,0.0000,2013/1/3 0:00:00
130503,35,0,0.0000,2013/1/3 0:00:00
130521,1173,0,0.0000,2013/1/3 0:00:00
130522,549,0,0.0000,2013/1/3 0:00:00
130523,562,0,0.0000,2013/1/3 0:00:00
130524,188,0,0.0000,2013/1/3 0:00:00
130525,476,0,0.0000,2013/1/3 0:00:00
130526,301,0,0.0000,2013/1/3 0:00:00
130527,263,0,0.0000,2013/1/3 0:00:00
130528,761,0,0.0000,2013/1/3 0:00:00
130529,417,0,0.0000,2013/1/3 0:00:00
130530,305,0,0.0000,2013/1/3 0:00:00
130531,329,0,0.0000,2013/1/3 0:00:00
130532,230,0,0.0000,2013/1/3 0:00:00
130533,640,0,0.0000,2013/1/3 0:00:00
130534,365,0,0.0000,2013/1/3 0:00:00
130535,326,0,0.0000,2013/1/3 0:00:00
130581,584,0,0.0000,2013/1/3 0:00:00
130582,735,3,0.4082,2013/1/3 0:00:00
130602,49,0,0.0000,2013/1/3 0:00:00
130603,70,0,0.0000,2013/1/3 0:00:00
130604,47,0,0.0000,2013/1/3 0:00:00
130621,670,0,0.0000,2013/1/3 0:00:00
130622,541,0,0.0000,2013/1/3 0:00:00
130623,1118,19,1.6995,2013/1/3 0:00:00
130624,1659,0,0.0000,2013/1/3 0:00:00
130625,418,3,0.7177,2013/1/3 0:00:00
130626,532,264,49.6241,2013/1/3 0:00:00
130627,928,3,0.3233,2013/1/3 0:00:00
130628,306,0,0.0000,2013/1/3 0:00:00
130629,221,124,56.1086,2013/1/3 0:00:00
130630,1855,200,10.7817,2013/1/3 0:00:00
130631,261,0,0.0000,2013/1/3 0:00:00
130632,514,168,32.6848,2013/1/3 0:00:00
